tabla,id,nombre,tipo,a,b,result,item,outcome,outcome_id,estado_ogro,flags_set,condiciones,texto
items,pescado,PESCADO,base,,,,,,,,,,
items,agua,AGUA,base,,,,,,,,,,
items,fuego,FUEGO,base,,,,,,,,,,
items,palo,PALO,base,,,,,,,,,,
items,magia,MAGIA,base,,,,,,,,,,
items,piedra,PIEDRA,base,,,,,,,,,,
items,cuerda,CUERDA,base,,,,,,,,,,
items,espejo,ESPEJO,base,,,,,,,,,,
items,pescado_mojado,PESCADO MOJADO,craft,,,,,,,,,,
items,pescado_asado,PESCADO ASADO,craft,,,,,,,,,,
items,pescado_ensartado,PESCADO ENSARTADO,craft,,,,,,,,,,
items,hechizo_convertir_en_pez,HECHIZO: CONVERTIR EN PEZ,hechizo,,,,,,,,,,
items,pescado_aplastado,PESCADO APLASTADO,craft,,,,,,,,,,
items,pescado_atado,PESCADO ATADO,craft,,,,,,,,,,
items,pescado_vanidoso,PESCADO VANIDOSO,craft,,,,,,,,,,
items,vapor,VAPOR,craft,,,,,,,,,,
items,palo_mojado,PALO MOJADO,craft,,,,,,,,,,
items,hechizo_invocar_marea,HECHIZO: INVOCAR MAREA,hechizo,,,,,,,,,,
items,barro,BARRO,craft,,,,,,,,,,
items,cuerda_empapada,CUERDA EMPAPADA,craft,,,,,,,,,,
items,espejo_empanado,ESPEJO EMPAÑADO,craft,,,,,,,,,,
items,antorcha,ANTORCHA,craft,,,,,,,,,,
items,hechizo_llama_azul,HECHIZO: LLAMA AZUL,hechizo,,,,,,,,,,
items,piedra_caliente,PIEDRA CALIENTE,craft,,,,,,,,,,
items,cuerda_quemada,CUERDA QUEMADA,craft,,,,,,,,,,
items,rayo_solar,RAYO SOLAR,craft,,,,,,,,,,
items,varita_magica,VARITA MÁGICA,craft,,,,,,,,,,
items,garrote,GARROTE,craft,,,,,,,,,,
items,lazo,LAZO,craft,,,,,,,,,,
items,periscopio,PERISCOPIO,craft,,,,,,,,,,
items,piedra_filosofal,PIEDRA FILOSOFAL,craft,,,,,,,,,,
items,cuerda_encantada,CUERDA ENCANTADA,craft,,,,,,,,,,
items,espejo_encantado,ESPEJO ENCANTADO,craft,,,,,,,,,,
items,boleadora,BOLEADORA,craft,,,,,,,,,,
items,espejo_roto,ESPEJO ROTO,craft,,,,,,,,,,
items,trampa_de_reflejo,TRAMPA DE REFLEJO,craft,,,,,,,,,,
items,t2__pescado_mojado__fuego,PESCADO MOJADO + FUEGO,craft,,,,,,,,,,
items,t2__pescado_mojado__palo,PESCADO MOJADO + PALO,craft,,,,,,,,,,
items,t2__pescado_mojado__magia,PESCADO MOJADO + MAGIA,craft,,,,,,,,,,
items,t2__pescado_mojado__piedra,PESCADO MOJADO + PIEDRA,craft,,,,,,,,,,
items,t2__pescado_mojado__cuerda,PESCADO MOJADO + CUERDA,craft,,,,,,,,,,
items,t2__pescado_mojado__espejo,PESCADO MOJADO + ESPEJO,craft,,,,,,,,,,
items,t2__pescado_asado__agua,PESCADO ASADO + AGUA,craft,,,,,,,,,,
items,t2__pescado_asado__palo,PESCADO ASADO + PALO,craft,,,,,,,,,,
items,t2__pescado_asado__magia,PESCADO ASADO + MAGIA,craft,,,,,,,,,,
items,t2__pescado_asado__piedra,PESCADO ASADO + PIEDRA,craft,,,,,,,,,,
items,t2__pescado_asado__cuerda,PESCADO ASADO + CUERDA,craft,,,,,,,,,,
items,t2__pescado_asado__espejo,PESCADO ASADO + ESPEJO,craft,,,,,,,,,,
items,t2__pescado_ensartado__agua,PESCADO ENSARTADO + AGUA,craft,,,,,,,,,,
items,t2__pescado_ensartado__fuego,PESCADO ENSARTADO + FUEGO,craft,,,,,,,,,,
items,t2__pescado_ensartado__magia,PESCADO ENSARTADO + MAGIA,craft,,,,,,,,,,
