tabla,id,nombre,tipo,a,b,result,item,outcome,outcome_id,estado_ogro,flags_set,condiciones,texto
items,pescado,Pescado,base,,,,,,,,,,
items,agua,Agua,base,,,,,,,,,,
items,fuego,Fuego,base,,,,,,,,,,
items,palo,Palo,base,,,,,,,,,,
items,magia,Magia,base,,,,,,,,,,
items,piedra,Piedra,base,,,,,,,,,,
items,cuerda,Cuerda,base,,,,,,,,,,
items,espejo,Espejo,base,,,,,,,,,,
items,pescado_mojado,Pescado mojado,craft,,,,,,,,,,
items,pescado_asado,Pescado asado,craft,,,,,,,,,,
items,pescado_ensartado,Pescado ensartado,craft,,,,,,,,,,
items,hechizo_convertir_en_pez,Hechizo: Convertir en pez,hechizo,,,,,,,,,,
items,pescado_aplastado,Pescado aplastado,craft,,,,,,,,,,
items,pescado_atado,Pescado atado,craft,,,,,,,,,,
items,pescado_vanidoso,Pescado vanidoso,craft,,,,,,,,,,
items,vapor,Vapor,craft,,,,,,,,,,
items,palo_mojado,Palo mojado,craft,,,,,,,,,,
items,hechizo_invocar_marea,Hechizo: Invocar marea,hechizo,,,,,,,,,,
items,barro,Barro,craft,,,,,,,,,,
items,cuerda_empapada,Cuerda empapada,craft,,,,,,,,,,
items,espejo_empanado,Espejo empañado,craft,,,,,,,,,,
items,antorcha,Antorcha,craft,,,,,,,,,,
items,hechizo_llama_azul,Hechizo: Llama azul,hechizo,,,,,,,,,,
items,piedra_caliente,Piedra caliente,craft,,,,,,,,,,
items,cuerda_quemada,Cuerda quemada,craft,,,,,,,,,,
items,rayo_solar,Rayo solar,craft,,,,,,,,,,
items,varita_magica,Varita mágica,craft,,,,,,,,,,
items,garrote,Garrote,craft,,,,,,,,,,
items,lazo,Lazo,craft,,,,,,,,,,
items,periscopio,Periscopio,craft,,,,,,,,,,
items,piedra_filosofal,Piedra filosofal,craft,,,,,,,,,,
items,cuerda_encantada,Cuerda encantada,craft,,,,,,,,,,
items,espejo_encantado,Espejo encantado,craft,,,,,,,,,,
items,boleadora,Boleadora,craft,,,,,,,,,,
items,espejo_roto,Espejo roto,craft,,,,,,,,,,
items,trampa_de_reflejo,Trampa de reflejo,craft,,,,,,,,,,
recetas_t1,,,,pescado,agua,pescado_mojado,,,,,,,
recetas_t1,,,,pescado,fuego,pescado_asado,,,,,,,
recetas_t1,,,,pescado,palo,pescado_ensartado,,,,,,,
recetas_t1,,,,pescado,magia,hechizo_convertir_en_pez,,,,,,,
recetas_t1,,,,pescado,piedra,pescado_aplastado,,,,,,,
recetas_t1,,,,pescado,cuerda,pescado_atado,,,,,,,
recetas_t1,,,,pescado,espejo,pescado_vanidoso,,,,,,,
recetas_t1,,,,agua,fuego,vapor,,,,,,,
recetas_t1,,,,agua,palo,palo_mojado,,,,,,,
recetas_t1,,,,agua,magia,hechizo_invocar_marea,,,,,,,
recetas_t1,,,,agua,piedra,barro,,,,,,,
recetas_t1,,,,agua,cuerda,cuerda_empapada,,,,,,,
recetas_t1,,,,agua,espejo,espejo_empanado,,,,,,,
recetas_t1,,,,fuego,palo,antorcha,,,,,,,
recetas_t1,,,,fuego,magia,hechizo_llama_azul,,,,,,,
recetas_t1,,,,fuego,piedra,piedra_caliente,,,,,,,
recetas_t1,,,,fuego,cuerda,cuerda_quemada,,,,,,,
recetas_t1,,,,fuego,espejo,rayo_solar,,,,,,,
recetas_t1,,,,palo,magia,varita_magica,,,,,,,
recetas_t1,,,,palo,piedra,garrote,,,,,,,
recetas_t1,,,,palo,cuerda,lazo,,,,,,,
recetas_t1,,,,palo,espejo,periscopio,,,,,,,
recetas_t1,,,,magia,piedra,piedra_filosofal,,,,,,,
recetas_t1,,,,magia,cuerda,cuerda_encantada,,,,,,,
recetas_t1,,,,magia,espejo,espejo_encantado,,,,,,,
recetas_t1,,,,piedra,cuerda,boleadora,,,,,,,
